7        Модуль Диспетчер                                                  6 100   0
7.1      Описание и назначение модуля Диспетчер                            0   7   0
7.2      Функциональный состав модуля Диспетчер                            0   1   7
7.3      Выполнение производственной программы. Учет операций.             7  51   8
7.3.1    Учет выполнения операций                                          9  28   9
7.3.7    Учёт расхода КиМ                                                  2   8  51
7.4      Справочники модуля Диспетчер                                      0   0  59
7.5      Журналы модуля Диспетчер                                          5  39  59
7.5.1    Журнал сменных заданий                                            2  24  59
7.5.3    Журнал учёта возвратных отходов                                   1   2  87
7.5.4    Журнал цеховых передач                                            5   8  89
7.6      Отчеты и Документы модуля Диспетчер                               0   2  98
