public | arh_cpl                       | таблица            |               |                    | 
 public | arh_dst                       | таблица            |               |                    | 
 public | arh_dst_elem                  | таблица            |               |                    | 
 public | arh_dstnums                   | таблица            |               |                    | 
 public | arh_eskortlist                | таблица            |               |                    | 
 public | arh_ipt                       | таблица            |               |                    | 
 public | arh_ipt_elem                  | таблица            |               |                    | 
 public | arh_ipt_receive               | таблица            |               |                    | 
 public | arh_iptnums                   | таблица            |               |                    | 
 public | arh_iptnumsreceive            | таблица            |               |                    | 
 public | arh_oplan_data                | таблица            |               |                    | 
 public | arh_pot                       | таблица            |               |                    | 
 public | arh_potudse                   | таблица            |               |                    | 
 public | arh_ppp                       | таблица            |               |                    | 
 public | arh_pppdep                    | таблица            |               |                    | 
 public | arh_ram                       | таблица            |               |                    | 
 public | arh_sdt                       | таблица            |               |                    | 
 public | arh_sdt_elem                  | таблица            |               |                    | 
 public | arh_sdtuop                    | таблица            |               |                    | 
 public | arh_techdoubles               | таблица            |               |                    | 
 public | arh_toz                       | таблица            |               |                    | 
 public | arh_toz_verifynom             | таблица            |               |                    | 
 public | arh_toz_wpl                   | таблица            |               |                    | 
 public | arh_trndoc                    | таблица            |               |                    | 
 public | arh_trndoc_id_seq             | последовательность |               |                    | 
 public | arh_trndocdata                | таблица            |               |                    | 
 public | arh_trndocdata_id_seq         | последовательность |               |                    | 
 public | arh_ubr                       | таблица            |               |                    | 
 public | arh_ubrdep                    | таблица            |               |                    | 
 public | arh_unom                      | таблица            |               |                    | 
 public | arh_uop                       | таблица            |               |                    | 
 public | arh_uopcomment                | таблица            |               |                    | 
 public | arh_uopkimnums                | таблица            |               |                    | 
 public | arh_uopnums                   | таблица            |               |                    | 
 public | arh_velem                     | таблица            |               |                    | 
 public | arh_verify                    | таблица            |               |                    | 
 public | arh_verify_snum               | таблица            |               |                    | 
 public | arh_verifyparam_obj           | таблица            |               |                    | 
 public | arh_voper                     | таблица            |               |                    | 
 public | arh_wpddata                   | таблица            |               |                    | 
 public | arh_wpddata_id_seq            | последовательность |               |                    | 
 public | arh_wpddoc                    | таблица            |               |                    | 
 public | arh_wpddoc_id_seq             | последовательность |               |                    | 
 public | okp_accesstype                | таблица            |               |                    | 
 public | okp_accesstype_id_seq         | последовательность |               |                    | 
 public | okp_barcodes                  | таблица            |               |                    | 
 public | okp_barcodes_id_seq           | последовательность |               |                    | 
 public | okp_bom                       | таблица            |               |                    | 
 public | okp_bom_id_seq                | последовательность |               |                    | 
 public | okp_buflog                    | таблица            |               |                    | 
 public | okp_calc_model                | таблица            |               |                    | 
 public | okp_calc_model_id_seq         | последовательность |               |                    | 
 public | okp_cert                      | таблица            |               |                    | 
 public | okp_cert_id_seq               | последовательность |               |                    | 
 public | okp_cert_tfld                 | таблица            |               |                    | 
 public | okp_cert_tfld_id_seq          | последовательность |               |                    | 
 public | okp_cfree                     | таблица            |               |                    | 
 public | okp_cgm                       | таблица            |               |                    | 
 public | okp_cgm_id_seq                | последовательность |               |                    | 
 public | okp_cgmdata                   | таблица            |               |                    | 
 public | okp_cgmdata_id_seq            | последовательность |               |                    | 
 public | okp_cgmsteps                  | таблица            |               |                    | 
 public | okp_cgmsteps_id_seq           | последовательность |               |                    | 
 public | okp_contact                   | таблица            |               |                    | 
 public | okp_contact_id_seq            | последовательность |               |                    | 
 public | okp_contract                  | таблица            |               |                    | 
 public | okp_contract_files            | таблица            |               |                    | 
 public | okp_contract_files_id_seq     | последовательность |               |                    | 
 public | okp_contract_id_seq           | последовательность |               |                    | 
 public | okp_cost_item                 | таблица            |               |                    | 
 public | okp_cost_item_id_seq          | последовательность |               |                    | 
 public | okp_cpl                       | таблица            |               |                    | 
 public | okp_cpl_rwc_seq               | последовательность |               |                    | 
 public | okp_cplextracted              | таблица            |               |                    | 
 public | okp_cplextracted_id_seq       | последовательность |               |                    | 
 public | okp_cpllog                    | таблица            |               |                    | 
 public | okp_cpllog_id_seq             | последовательность |               |                    | 
 public | okp_ctr                       | таблица            |               |                    | 
 public | okp_ctr_id_seq                | последовательность |               |                    | 
 public | okp_currency                  | таблица            |               |                    | 
 public | okp_currency_id_seq           | последовательность |               |                    | 
 public | okp_cwork                     | таблица            |               |                    | 
 public | okp_dataexport                | таблица            |               |                    | 
 public | okp_dataexport_rwc_seq        | последовательность |               |                    | 
 public | okp_dataexportparameters      | таблица            |               |                    | 
 public | okp_dep                       | таблица            |               |                    | 
 public | okp_dep_rwc_seq               | последовательность |               |                    | 
 public | okp_directories               | таблица            |               |                    | 
 public | okp_doc                       | таблица            |               |                    | 
 public | okp_doc_id_seq                | последовательность |               |                    | 
 public | okp_docs                      | таблица            |               |                    | 
 public | okp_docs_id_seq               | последовательность |               |                    | 
 public | okp_dst                       | таблица            |               |                    | 
 public | okp_dst_elem                  | таблица            |               |                    | 
 public | okp_dst_elem_id_seq           | последовательность |               |                    | 
 public | okp_dst_id_seq                | последовательность |               |                    | 
 public | okp_dstnums                   | таблица            |               |                    | 
 public | okp_dstnums_id_seq            | последовательность |               |                    | 
 public | okp_eiz                       | таблица            |               |                    | 
 public | okp_eiz_rwc_seq               | последовательность |               |                    | 
 public | okp_eng                       | таблица            |               |                    | 
 public | okp_eng_id_seq                | последовательность |               |                    | 
 public | okp_engalt                    | таблица            |               |                    | 
 public | okp_engalt_rwc_seq            | последовательность |               |                    | 
